mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm
الرياض,جنوب الرياض,حي عريض,شرق,,15.0,400,500
الرياض,شرق الرياض,حي الرمال,جنوب شرقي,تجاري,30.0,900,1450
الدمام,,حي ضاحية الملك فهد,شرق,سكني,60.0,500,1200
الرياض,شمال الرياض,حي النفل,جنوب شرقي,سكني,36.0,2444,4500
الرياض,شمال الرياض,حي حطين,4 شوارع,,20.0,6760,5000
الخبر,,حي المرجان,غرب,سكني,40.0,925,594
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني أو تجاري,36.0,900,5200
جدة,شمال جدة,حي الزمرد,غرب,سكني,15.0,900,1111
الهياثم,,حي الهياثم,غرب,سكني,15.0,5000,50
الرياض,شمال الرياض,حي النخيل,جنوب غربي,سكني,30.0,1617,4600
الرياض,شمال الرياض,حي القيروان,غرب,سكني,15.0,750,2650
الرياض,غرب الرياض,حي عرقة,شمال,سكني,20.0,600,2750
الرياض,شمال الرياض,حي بنبان,جنوب,,15.0,455,858
جدة,شمال جدة,حي الياقوت,شرق,سكني,25.0,483,1759
الرياض,شمال الرياض,حي القيروان,جنوب شرقي,تجاري,31.0,900,3200
بريدة,,حي الحمر,شرق,سكني,12.0,300,650
الرياض,شمال الرياض,حي حطين,3 شوارع,,30.0,16000,4000
الرياض,شرق الرياض,حي القدس,غرب,تجاري,36.0,996,3900
الرياض,شرق الرياض,حي القدس,جنوب,سكني,15.0,600,2750
المدينة المنورة,,حي الشهباء,غرب,سكني أو تجاري,100.0,8300,1445
الخبر,,حي الشراع,جنوب غربي,تجاري,60.0,875,2171
الظهران,,حي القصور,شرق,سكني,20.0,875,2000
الخبر,,حي الامواج,شمال,تجاري,60.0,2100,1650
جدة,شمال جدة,حي المروة,جنوب,سكني,15.0,9700,3000
الخبر,,حي المرجان,غرب,سكني أو تجاري,60.0,40000,325
القطيف,,حي الناصرة,شمال شرقي,سكني,15.0,555,2700
الرياض,شمال الرياض,حي النفل,شمال,سكني أو تجاري,36.0,1500,4000
جدة,شمال جدة,حي الياقوت,شرق,سكني,40.0,638,1880
الرياض,جنوب الرياض,حي عكاظ,4 شوارع,سكني,20.0,360,1200
جدة,شمال جدة,حي الزمرد,غرب,سكني,16.0,900,300
جدة,شمال جدة,حي الزمرد,جنوب,سكني,16.0,900,350
الرياض,غرب الرياض,حي المهدية,شرق,,20.0,400,2200
الرياض,شمال الرياض,حي المروج,شمال,سكني أو تجاري,30.0,575,4500
الرياض,شرق الرياض,حي الروضة,غرب,سكني,20.0,541,2400
الرياض,شرق الرياض,حي المونسية,جنوب شرقي,,18.0,288,2850
الرياض,شرق الرياض,حي النظيم,غرب,سكني أو تجاري,35.0,750,1650
الرياض,شرق الرياض,حي الروابي,3 شوارع,سكني,12.0,925,2400
جدة,شمال جدة,حي الزمرد,غرب,سكني,15.0,312,1682
الرياض,شرق الرياض,حي الخليج,جنوب غربي,تجاري,40.0,1000,1900
جدة,شمال جدة,حي الزمرد,جنوب,سكني,16.0,806,496
الرياض,شمال الرياض,حي حطين,شمال,سكني,15.0,750,4200
الرياض,شمال الرياض,حي الملقا,جنوب,,18.0,3900,4400
الرياض,شرق الرياض,حي اليرموك,3 شوارع,تجاري,36.0,3600,3700
الرياض,شرق الرياض,حي النهضة,غرب,سكني,15.0,375,2050
الرياض,شرق الرياض,حي القدس,غرب,تجاري,35.0,969,3700
جدة,شمال جدة,حي اللؤلؤ,جنوب شرقي,سكني,16.0,400,2000
الرياض,شمال الرياض,حي الياسمين,3 شوارع,تجاري,60.0,4873,5000
الرياض,شمال الرياض,حي الملقا,شرق,تجاري,60.0,1800,7000
الرياض,شرق الرياض,حي القدس,غرب,سكني,15.0,600,2900
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15.0,446,4000
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20.0,811,3950
الرياض,شرق الرياض,حي الرمال,شمال,سكني,20.0,344,1500
الرياض,شمال الرياض,حي النرجس,جنوب غربي,تجاري,80.0,1050,7000
الرياض,غرب الرياض,حي لبن,غرب,سكني,20.0,450,2777
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,20.0,370,3908
الرياض,شمال الرياض,حي الفلاح,جنوب غربي,سكني,20.0,680,3350
الرياض,شرق الرياض,حي المعيزلة,جنوب,تجاري,30.0,750,1500
الرياض,غرب الرياض,حي عرقة,شرق,سكني,15.0,375,3300
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18.0,875,3900
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,تجاري,36.0,12438,3300
الرياض,شرق الرياض,حي القادسية,شرق,تجاري,40.0,20000,2000
الرياض,غرب الرياض,حي الهدا,جنوب شرقي,سكني,15.0,3046,2500
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني أو تجاري,30.0,900,4000
الرياض,غرب الرياض,حي الخزامى,شمال شرقي,سكني,20.0,7000,3200
الرياض,شمال الرياض,حي حطين,جنوب,,30.0,700,5000
الدرعية,,حي الفيصلية,جنوب,سكني,20.0,900,3300
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,28.0,1600,5000
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15.0,1200,2900
الرياض,جنوب الرياض,حي عريض,جنوب,سكني,15.0,405,691
الرياض,شمال الرياض,حي حطين,شمال,سكني,20.0,875,4000
الرياض,غرب الرياض,حي عرقة,شرق,سكني,15.0,375,3200
الرياض,شمال الرياض,حي بنبان,3 شوارع,سكني,20.0,1820,934
الرياض,شمال الرياض,حي المحمدية,3 شوارع,سكني,12.0,700,3450
الرياض,غرب الرياض,حي ظهرة لبن,شمال,سكني,20.0,500,1050
الرياض,شمال الرياض,حي النفل,غرب,سكني,21.0,675,3300
الرياض,غرب الرياض,حي عرقة,شمال,سكني,15.0,562,3300
الرياض,غرب الرياض,حي المهدية,غرب,سكني,20.0,690,1200
الرياض,جنوب الرياض,حي عكاظ,شمال,سكني,20.0,312,1200
الرياض,شمال الرياض,حي الياسمين,شمال غربي,سكني,15.0,840,3500
الرياض,شرق الرياض,حي النهضة,جنوب,سكني,10.0,600,1750
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15.0,360,2800
الدرعية,,حي الخالدية,جنوب غربي,سكني,18.0,720,3500
الرياض,شرق الرياض,حي غرناطة,شرق,سكني,15.0,900,2600
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,35.0,3600,4200
الرياض,شمال الرياض,حي حطين,شرق,سكني,25.0,9950,4000
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20.0,900,3800
الرياض,شمال الرياض,حي المروج,4 شوارع,سكني,15.0,6000,2500
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,15.0,3780,4000
الرياض,شمال الرياض,حي حطين,شمال شرقي,سكني,20.0,1200,3800
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18.0,838,4800
الدرعية,,حي الخالدية,شرق,سكني,15.0,420,2500
الرياض,شرق الرياض,حي الرمال,4 شوارع,سكني,60.0,4831,1250
الرياض,شمال الرياض,حي الملقا,3 شوارع,تجاري,60.0,2140,10000
الرياض,شمال الرياض,حي الربيع,شمال غربي,سكني,15.0,982,4000
الرياض,شرق الرياض,حي المونسية,شمال,تجاري,36.0,900,2000
الرياض,شمال الرياض,حي حطين,جنوب شرقي,سكني,25.0,2100,4700
الرياض,جنوب الرياض,حي طيبة,3 شوارع,سكني,20.0,1143,1350
الرياض,شرق الرياض,حي قرطبة,شرق,سكني,20.0,1325,2700
الخبر,,حي التحلية,شمال شرقي,سكني,15.0,467,1498
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,6.0,687,2700
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15.0,450,2400
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20.0,1350,3050
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,765,4000
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,28.0,23900,4000
بريدة,,حي الرحاب,جنوب,سكني,15.0,1473,500
الرياض,شرق الرياض,حي النسيم الغربي,3 شوارع,سكني,10.0,750,1600
الرياض,شمال الرياض,حي الندى,شمال,تجاري,36.0,10860,3300
الخبر,,حي العقيق,شمال شرقي,سكني,20.0,392,969
الرياض,شرق الرياض,حي المونسية,شرق,سكني,15.0,288,2620
الرياض,شرق الرياض,حي اليرموك,شمال غربي,تجاري,36.0,886,2800
الرياض,شمال الرياض,حي الملقا,جنوب,,20.0,860,4500
الخبر,,حي التحلية,شمال شرقي,سكني,20.0,600,2
الرياض,شمال الرياض,حي المحمدية,شمال غربي,سكني,12.0,494,4000
الرياض,شمال الرياض,حي الندى,شمال,تجاري,60.0,8400,6000
الرياض,شمال الرياض,حي حطين,شرق,سكني,30.0,3500,4500
الرياض,شمال الرياض,حي الصحافة,شمال,تجاري,36.0,720,4200
الرياض,شمال الرياض,حي الملقا,شمال شرقي,تجاري,30.0,1050,4200
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,1089,3900
الخبر,,حي التحلية,غرب,سكني,20.0,542,1150
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20.0,900,3700
جدة,شمال جدة,حي الزمرد,شمال,سكني,20.0,900,888
ابها,,حي القرى,جنوب,,20.0,1173,1278
الرياض,شمال الرياض,حي بنبان,جنوب,,15.0,750,600
جازان,,حي الشاطئ,شمال شرقي,سكني,20.0,672,1488
الرياض,غرب الرياض,حي ضاحية نمار,شمال,سكني,20.0,350,857
جدة,شمال جدة,حي الشراع,شرق,سكني,15.0,660,2100
الرياض,شمال الرياض,حي القيروان,شمال شرقي,سكني أو تجاري,30.0,17700,1400
الرياض,شمال الرياض,حي الورود,3 شوارع,تجاري,40.0,1033,10000
الرياض,شمال الرياض,حي العارض,شمال شرقي,تجاري,30.0,950,2500
مكة المكرمة,,حي الملك فهد,جنوب شرقي,سكني,15.0,624,1201
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,,20.0,814,550
الدمام,,حي الفيصلية,شرق,,30.0,4612,1100
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15.0,750,4000
رابغ,,حي الصليب الشرقي,شرق,تجاري,30.0,714,560
رابغ,,حي الصليب الغربي,شرق,سكني,15.0,735,204
الرياض,جنوب الرياض,حي عكاظ,شرق,سكني أو تجاري,35.0,7747,1000
الرياض,غرب الرياض,حي ضاحية نمار,شمال,سكني,20.0,2250,450
الرياض,شرق الرياض,حي النسيم الغربي,شمال,تجاري,40.0,875,2000
الرياض,غرب الرياض,حي ظهرة نمار,شمال شرقي,سكني,20.0,450,1350
الطائف,,حي الخالدية,شرق,سكني أو تجاري,35.0,30444,1500
بريدة,,حي سلطانة,جنوب غربي,سكني أو تجاري,30.0,1500,940
المدينة المنورة,,حي الدفاع,جنوب,,60.0,3463,2500
بيش,,حي بيش,شرق,سكني أو تجاري,100.0,188000,350
عرعر,,حي الربوه,شمال شرقي,سكني أو تجاري,60.0,797,400
صبيا,,حي الرونة,شمال,سكني أو تجاري,100.0,24900,180
الرياض,شمال الرياض,حي الغدير,غرب,سكني,15.0,420,4650
الرياض,شمال الرياض,حي الغدير,جنوب غربي,سكني,20.0,756,5200
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,11.0,540,3500
الرياض,شمال الرياض,حي النرجس,شمال,سكني,25.0,525,3200
ابو عريش,,حي المهدج,جنوب,,15.0,640,281
الرياض,غرب الرياض,حي المهدية,شرق,,20.0,400,2012
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15.0,300,2950
الرياض,شرق الرياض,حي قرطبة,3 شوارع,تجاري,80.0,9068,4500
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,15.0,720,694
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20.0,360,4000
الرياض,شرق الرياض,حي الرمال,شمال,سكني,15.0,360,1900
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني أو تجاري,30.0,2500,3900
الرياض,غرب الرياض,حي السويدي,جنوب شرقي,سكني,15.0,529,1250
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,15.0,720,2700
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15.0,372,2400
الدرعية,,حي الدرعية الجديدة,شمال,سكني,20.0,42000,250
الرياض,شمال الرياض,حي القيروان,شمال غربي,سكني,15.0,1030,1100
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,20.0,500,2600
الرياض,شمال الرياض,حي المرسلات,شرق,سكني,15.0,375,3000
الرياض,شرق الرياض,حي النهضة,جنوب شرقي,سكني,15.0,600,2300
الرياض,شرق الرياض,حي المونسية,شمال شرقي,سكني,15.0,4516,2400
الرياض,شمال الرياض,حي الملقا,غرب,سكني,25.0,920,4300
الخبر,,حي التحلية,جنوب غربي,سكني,20.0,585,1450
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25.0,2250,5000
الرياض,شرق الرياض,حي المونسية,شمال,سكني أو تجاري,30.0,600,2000
الهفوف,,حي الملك فهد,جنوب شرقي,سكني,15.0,492,1300
الرياض,شرق الرياض,حي اليرموك,جنوب شرقي,سكني,15.0,378,2750
الرياض,غرب الرياض,حي الخزامى,جنوب,سكني أو تجاري,30.0,560,4200
الرياض,شرق الرياض,حي اليرموك,شمال,سكني,20.0,312,2600
الرياض,غرب الرياض,حي السفارات,3 شوارع,,20.0,4200,5000
الهفوف,,حي جنوب الهفوف,شمال شرقي,سكني,15.0,400,875
الرياض,شمال الرياض,حي الياسمين,جنوب,,36.0,750,4200
الرياض,غرب الرياض,حي ظهرة لبن,جنوب,سكني,20.0,450,1200
الرياض,شمال الرياض,حي حطين,جنوب,سكني,30.0,700,5000
الرياض,شمال الرياض,حي الربيع,شمال غربي,سكني,15.0,981,3900
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,1250,3300
الرياض,غرب الرياض,حي المهدية,شمال غربي,سكني أو تجاري,20.0,900,1333
الرياض,شمال الرياض,حي الملك عبدالله,غرب,,15.0,635,3000
الرياض,شمال الرياض,حي النرجس,3 شوارع,تجاري,80.0,1050,6000
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,15.0,360,2900
الهفوف,,حي الجامعيين,شرق,سكني,15.0,500,1020
الرياض,شمال الرياض,حي السليمانية,شمال شرقي,سكني,15.0,2964,2450
الرياض,غرب الرياض,حي المهدية,شمال,سكني,20.0,600,1000
الرياض,شرق الرياض,حي الازدهار,شمال شرقي,سكني,20.0,900,3100
الخبر,,حي الامواج,جنوب,سكني,20.0,628,1003
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,450,3000
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني,30.0,5855,6500
الرياض,شرق الرياض,حي النظيم,شرق,سكني,30.0,858,1300
الرياض,شمال الرياض,حي الصحافة,غرب,سكني,15.0,900,3900
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20.0,808,4300
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,15.0,1050,2900
الرياض,شمال الرياض,حي الملك عبدالله,شمال,سكني,15.0,330,3300
الرياض,شرق الرياض,حي المونسية,جنوب,سكني أو تجاري,30.0,600,3100
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20.0,900,4250
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,15.0,750,643
الرياض,شرق الرياض,حي النهضة,جنوب شرقي,سكني,20.0,1800,2500
الخبر,,حي الامواج,غرب,سكني,16.0,420,833
الرياض,شمال الرياض,حي المصيف,شمال,سكني,10.0,575,2260
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20.0,390,3700
الرياض,شمال الرياض,حي القيروان,غرب,سكني,15.0,300,6666
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20.0,687,4200
الرياض,شمال الرياض,حي الوادي,غرب,تجاري,61.0,2025,5200
الرياض,شرق الرياض,حي الرمال,شمال شرقي,سكني,18.0,342,1850
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15.0,456,3200
الرياض,شمال الرياض,حي المغرزات,شمال,سكني,30.0,1125,2900
الرياض,شمال الرياض,حي الملقا,شمال,سكني,18.0,375,4000
الرياض,غرب الرياض,حي عرقة,4 شوارع,سكني أو تجاري,60.0,13902,2350
الرياض,شمال الرياض,حي الغدير,شمال,,20.0,600,4200
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15.0,414,1600
الرياض,شمال الرياض,حي الملقا,جنوب,تجاري,60.0,900,6000
الرياض,شمال الرياض,حي الملك عبدالله,شمال,سكني,15.0,325,3300
الخبر,,حي العقيق,غرب,سكني,25.0,482,840
الرياض,شرق الرياض,حي الروضة,شمال,سكني,12.0,598,2350
الرياض,شرق الرياض,حي الرمال,شمال,سكني,15.0,770,1500
الخبر,,حي الصواري,غرب,تجاري,60.0,1600,1250
الرياض,شمال الرياض,حي الملقا,غرب,سكني,30.0,1904,3850
الرياض,شمال الرياض,حي الندى,4 شوارع,تجاري,60.0,17820,5500
الخبر,,حي الصواري,شمال شرقي,سكني,15.0,650,1076
جازان,,حي الشاطئ,غرب,سكني أو تجاري,45.0,3040,2500
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,20.0,500,3000
الهفوف,,حي جنوب منسوبي التعليم,شمال,سكني,15.0,400,700
الرياض,غرب الرياض,حي العريجاء الوسطى,جنوب غربي,سكني,15.0,471,1348
الرياض,شرق الرياض,حي اشبيلية,3 شوارع,تجاري,60.0,2500,4000
الرياض,شرق الرياض,حي اليرموك,شرق,سكني أو تجاري,30.0,900,3600
الرياض,شمال الرياض,حي العقيق,3 شوارع,تجاري,30.0,2500,4000
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15.0,425,5000
ابو عريش,,حي شويهة,جنوب,,30.0,168000,25
الرياض,شمال الرياض,حي الملقا,شمال شرقي,,20.0,958,3700
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,20.0,1100,3000
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,12.0,740,1800
الرياض,غرب الرياض,حي ظهرة لبن,شمال غربي,سكني أو تجاري,30.0,1680,1730
المدينة المنورة,,حي السكب,شمال,سكني,25.0,800,750
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15.0,385,4200
الرياض,شمال الرياض,حي العقيق,جنوب غربي,تجاري,30.0,500,3650
الرياض,غرب الرياض,حي المهدية,جنوب,تجاري,40.0,900,1445
الرياض,شمال الرياض,حي العليا,جنوب,سكني,10.0,425,3059
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,750,3300
المدينة المنورة,,حي السلام,جنوب,سكني أو تجاري,30.0,708,1620
الخبر,,حي الحمرا,شرق,سكني,20.0,875,2000
الرياض,شمال الرياض,حي الياسمين,4 شوارع,تجاري,60.0,10000,6000
الرياض,شرق الرياض,حي الروضة,جنوب,سكني,15.0,690,2320
الرياض,جنوب الرياض,حي بدر,شرق,تجاري,60.0,2000,1500
الرياض,وسط الرياض,حي الضباط,4 شوارع,سكني,5.0,8296,2050
الزلفي,,حي المنتزة,3 شوارع,,20.0,675,185
الرياض,شرق الرياض,حي الرمال,جنوب,تجاري,25.0,800,2000
الرس,,حي الشفاء,شرق,سكني,20.0,400,662
الرياض,غرب الرياض,حي المهدية,غرب,سكني,15.0,450,1100
الرياض,غرب الرياض,حي ظهرة لبن,غرب,سكني أو تجاري,40.0,900,2200
الرياض,شمال الرياض,حي بنبان,جنوب,,15.0,403,620
الخبر,,حي العقيق,جنوب,تجاري,40.0,1050,952
الخبر,,حي اشبيليا,شرق,تجاري,60.0,900,3333
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,60.0,10635,3500
الرياض,غرب الرياض,حي الحزم,غرب,سكني,20.0,600,1400
الرياض,شمال الرياض,حي بنبان,شرق,تجاري,30.0,690,724
الرياض,شمال الرياض,حي بنبان,شرق,سكني,20.0,375,880
بريدة,,حي الرحاب,غرب,سكني,15.0,671,268
جدة,شمال جدة,حي اللؤلؤ,شرق,سكني,25.0,300,2333
الرياض,شرق الرياض,حي النظيم,شمال,,15.0,936,215
الرياض,غرب الرياض,حي المهدية,شمال,,15.0,465,2000
الرياض,شرق الرياض,حي الروابي,شمال غربي,تجاري,30.0,900,3200
الرياض,شرق الرياض,حي قرطبة,شمال شرقي,سكني,20.0,552,3600
الرياض,غرب الرياض,حي المهدية,جنوب شرقي,سكني,15.0,461,2000
الرياض,شرق الرياض,حي المونسية,شمال,تجاري,36.0,2700,2200
الرياض,غرب الرياض,حي السويدي,جنوب شرقي,سكني,15.0,500,1250
ثول,,حي ثول,شمال,سكني أو تجاري,27.0,4500,360
الرياض,شرق الرياض,حي الملك فيصل,3 شوارع,سكني أو تجاري,30.0,960,2550
الرياض,غرب الرياض,حي السفارات,3 شوارع,سكني,20.0,5100,5000
الرياض,شرق الرياض,حي الاندلس,3 شوارع,سكني أو تجاري,30.0,1704,3200
الرياض,شرق الرياض,حي قرطبة,3 شوارع,سكني أو تجاري,36.0,3797,3200
الرياض,شرق الرياض,حي الملك فيصل,3 شوارع,سكني أو تجاري,30.0,1600,3200
الرياض,شمال الرياض,حي النرجس,شمال,سكني,20.0,450,3200
الرياض,شمال الرياض,حي المغرزات,غرب,تجاري,30.0,1980,4000
جدة,شمال جدة,حي الصوارى,شرق,,10.0,275,2000
الخرج,,حي مشرف,3 شوارع,سكني,20.0,625,480
الرياض,غرب الرياض,حي ضاحية نمار,شمال,سكني,15.0,450,700
الرياض,شمال الرياض,حي العليا,جنوب شرقي,سكني,20.0,600,3250
الرياض,شمال الرياض,حي الملقا,شرق,سكني,20.0,800,4200
جدة,شمال جدة,حي الفردوس,شمال,سكني,32.0,900,1833
جدة,شمال جدة,حي الفروسية,شمال,,30.0,900,2222
الدمام,,حي الأمل,جنوب شرقي,سكني أو تجاري,15.0,2119,720
الرياض,شمال الرياض,حي حطين,شرق,سكني,15.0,469,4000
الرياض,غرب الرياض,حي عرقة,غرب,سكني,12.0,416,2400
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,15.0,2250,3300
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15.0,923,2800
الهفوف,,حي جنوب الهفوف,شمال,سكني,15.0,210,3714
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,18.0,435,1800
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20.0,726,4000
الرياض,شمال الرياض,حي الصحافة,4 شوارع,سكني,14.0,8480,3000
الرياض,شرق الرياض,حي النهضة,جنوب شرقي,سكني,14.0,806,2200
الرياض,شمال الرياض,حي الصحافة,غرب,سكني,15.0,405,3400
الخبر,,حي البحيرة,شمال,سكني,16.0,556,1200
الرياض,غرب الرياض,حي المهدية,جنوب غربي,سكني,20.0,600,1700
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18.0,2141,3500
بريدة,,حي الرحاب,شمال شرقي,سكني أو تجاري,60.0,3600,560
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15.0,800,2700
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,50.0,3684,3500
جدة,شمال جدة,حي مريخ,شمال غربي,سكني,15.0,581,1893
الرياض,شمال الرياض,حي النخيل,شرق,سكني,20.0,1125,3600
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25.0,1080,3700
الرياض,شمال الرياض,حي بنبان,شرق,,20.0,350,857
المدينة المنورة,,حي الملك فهد,شمال شرقي,سكني أو تجاري,30.0,632,1583
الرياض,غرب الرياض,حي ضاحية نمار,جنوب,سكني,20.0,2115,700
الرياض,شمال الرياض,حي بنبان,شمال شرقي,سكني,15.0,10000,500
الرياض,غرب الرياض,حي عرقة,3 شوارع,سكني أو تجاري,40.0,5250,3300
الرياض,جنوب الرياض,حي الشفا,3 شوارع,سكني,25.0,1500,1235
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15.0,1489,3400
الرياض,شمال الرياض,حي الفلاح,جنوب غربي,سكني,20.0,680,3300
الخبر,,حي الرجاء,شرق,سكني,15.0,345,1014
الرياض,شمال الرياض,حي الصحافة,شمال,سكني,12.0,264,3200
الرياض,وسط الرياض,حي الفاروق,3 شوارع,سكني أو تجاري,60.0,3508,3800
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,20.0,1120,3600
الرياض,شمال الرياض,حي الملقا,جنوب,تجاري,60.0,900,6300
الزلفي,,حي المنتزة,جنوب,,10.0,654,107
الرياض,شرق الرياض,حي النسيم الشرقي,شرق,تجاري,30.0,462,1900
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,,18.0,494,3500
الرياض,شرق الرياض,حي الروضة,شمال غربي,سكني,15.0,750,2200
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18.0,594,4100
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18.0,2912,3500
الرياض,شمال الرياض,حي الربيع,جنوب,سكني,15.0,520,3900
الرياض,شمال الرياض,حي الواحة,شمال,سكني,15.0,864,3900
الرياض,شمال الرياض,حي العليا,شمال,سكني,14.0,600,2750
الرياض,شمال الرياض,حي حطين,جنوب,سكني,36.0,1200,4600
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20.0,500,2600
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,15.0,1050,2200
الرياض,شمال الرياض,حي حطين,شمال غربي,سكني,20.0,2800,4100
الزلفي,,حي قرطبة,شمال,سكني,15.0,630,246
الرياض,غرب الرياض,حي عرقة,جنوب غربي,,20.0,1400,3300
الرياض,شرق الرياض,حي اشبيلية,3 شوارع,تجاري,60.0,2500,3500
الرياض,شمال الرياض,حي المصيف,غرب,سكني أو تجاري,36.0,910,3900
الرياض,شمال الرياض,حي الندى,3 شوارع,تجاري,60.0,9185,6000
الرياض,شمال الرياض,حي الصحافة,شمال,تجاري,36.0,720,4166
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني أو تجاري,36.0,3840,4400
الرياض,وسط الرياض,حي الربوة,جنوب غربي,سكني,12.0,1600,2200
الرياض,شمال الرياض,حي العقيق,جنوب,سكني أو تجاري,20.0,1000,3000
الرياض,شمال الرياض,حي العقيق,جنوب,سكني أو تجاري,30.0,1000,3000
الرياض,شمال الرياض,حي المرسلات,شمال,سكني,12.0,720,3150
الرياض,غرب الرياض,حي ظهرة نمار,غرب,سكني,20.0,814,1100
مدينة الملك عبدالله الاقتصادية,,حي ازميرالدا,شمال شرقي,سكني,20.0,419,1300
الرياض,شرق الرياض,حي الحمراء,شمال شرقي,تجاري,30.0,1050,3300
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15.0,780,2800
الرياض,غرب الرياض,حي ضاحية نمار,شرق,سكني,20.0,810,617
رابغ,,حي الفرنيسية الشرقية,جنوب,سكني,20.0,436,229
جدة,شمال جدة,حي البشائر,شمال,,20.0,1300,1000
بريدة,,حي الرحاب,جنوب,سكني,15.0,522,430
المدينة المنورة,,حي العزيزية,شمال شرقي,,20.0,1652,1100
الرياض,شمال الرياض,حي بنبان,جنوب,,25.0,630,650
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,15.0,1050,2800
ثادق,,حي الجنادرية,جنوب شرقي,سكني أو تجاري,30.0,606,247
الخبر,,حي الصواري,شرق,سكني,15.0,1600,781
الرس,,حي الاحتفالات,شمال,تجاري,40.0,690,579
الرس,,حي الملك فيصل,3 شوارع,سكني أو تجاري,30.0,1500,666
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,12.0,540,3550
الرياض,شمال الرياض,حي بنبان,شرق,,20.0,760,700
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15.0,875,3200
الرياض,جنوب الرياض,حي عريض,شمال شرقي,سكني,15.0,900,777
جدة,شمال جدة,حي الشراع,غرب,سكني,15.0,538,2137
